,sr_open_date,sr_close_date,activity_type_std,Cos,hour,dummy_sr_number,dummy_sysid,dummy_part_number
8492,2020-09-02,2020-12-03,,32.17248125,0.0,sr1989,sys1871,part43
8508,2015-08-27,2015-04-09,Field Service,100.98484920000001,0.0,sr3699,sys1763,part518
8509,2020-10-08,2020-09-27,Field Service,264.28448030000004,0.0,sr244,sys1763,part24
8510,2020-10-08,2020-09-27,,63.875122999999995,0.0,sr244,sys1763,part43
8513,2021-03-19,2021-08-05,Field Service,343.07158510000005,0.0,sr10215,sys1380,part65
8516,2021-07-14,2021-06-09,,117.9105674,0.0,sr8452,sys1539,part1093
8520,2017-01-12,2018-05-01,Field Service,310.68489300000005,0.0,sr1626,sys2263,part59
8522,2017-12-10,2017-11-16,Field Service,473.642625,0.0,sr3144,sys1949,part31
8547,2021-08-18,2021-09-19,Field Service,344.04090289999994,0.0,sr11512,sys1616,part30
8563,2020-10-27,2020-10-11,Field Service,906.68,0.0,sr2698,sys1617,part8
8565,2021-02-23,2021-11-03,Field Service,205.14,0.0,sr13218,sys1617,part15
8569,2021-02-03,2021-02-04,Field Service,119.6852689,0.0,sr1473,sys1927,part114
8573,2017-02-03,2017-10-06,,91.5576805,0.0,sr1173,sys2017,part159
8577,2021-01-14,2021-08-02,Field Service,103.48,0.0,sr2663,sys2134,part335
8580,2019-07-06,2019-07-14,,17.16,0.0,sr4722,sys2134,part21
8583,2021-02-26,2021-03-17,Field Service,64.65,0.0,sr10409,sys2136,part9
8591,2020-08-26,2020-12-12,Field Service,97.06,0.0,sr62,sys1790,part127
8598,2020-08-26,2020-10-19,Field Service,233.72,0.0,sr4662,sys1695,part411
8601,2020-08-21,2020-02-09,Field Service,835.51,0.0,sr2758,sys1695,part1
8604,2020-11-18,2020-11-27,Field Service,80.55,0.0,sr7743,sys1768,part45
8620,2020-02-24,2020-04-30,,23.68289607,0.0,sr289,sys1122,part89
8621,2020-09-18,2020-09-23,Field Service,14775.34025,0.0,sr2053,sys1599,part3
8628,2019-01-10,2019-04-11,Field Service,769.3886635,0.0,sr8515,sys1125,part1
8632,2020-06-10,2020-09-11,Field Service,1050.686391,0.0,sr6272,sys1121,part19
8634,2020-08-14,2020-10-31,,6.5890031,0.0,sr10454,sys1409,part235
8637,2019-11-03,2019-02-05,,2.26352351,0.0,sr8478,sys1409,part110
8644,2020-12-21,2021-01-21,,47.54993614,0.0,sr2463,sys1319,part76
8649,2018-07-02,2018-02-22,,0.0,,sr20065,sys1771,part203
8663,2018-05-18,2018-06-23,Field Service,1397.701312,0.0,sr1346,sys1829,part133
8667,2016-01-11,2016-07-12,Field Service,700.8993583,0.0,sr911,sys1912,part1
8669,2021-05-22,2021-06-28,Field Service,52.33090664,0.0,sr102,sys1912,part260
8681,2018-04-26,2018-07-23,Field Service,240.8746579,0.0,sr7219,sys1699,part6
8691,2018-08-17,2018-03-10,Field Service,56.77547357,0.0,sr1015,sys1757,part46
8693,2017-11-22,2018-06-01,Field Service,2175.13922,0.0,sr125,sys1757,part58
8699,2019-07-02,2019-03-20,Field Service,262.602202,0.0,sr153,sys1396,part24
8700,2019-07-02,2019-03-20,,7.84140326,0.0,sr153,sys1396,part160
8704,2018-07-18,2018-09-13,,35.7956268,0.0,sr15243,sys1396,part617
8706,2021-05-31,2021-03-07,Field Service,1273.884569,0.0,sr7726,sys1396,part13
8708,2018-05-06,2018-07-14,,17.66583936,0.0,sr3892,sys2248,part174
8715,2020-11-11,2020-12-12,Field Service,892.3424426000001,0.0,sr7427,sys1154,part1
8719,2019-09-17,2020-02-14,Field Service,321.8169977,0.0,sr9672,sys1487,part54
8723,2018-03-29,2018-06-05,Field Service,80.49606661,0.0,sr41,sys1837,part68
8725,2019-06-19,2019-07-22,Field Service,2281.350195,0.0,sr2055,sys1837,part234
8729,2021-03-18,2021-07-07,Field Service,102.2211175,0.0,sr3410,sys1388,part67
8733,2019-10-29,2020-03-16,Field Service,456.74700889999997,0.0,sr74,sys1871,part103
8735,2018-06-12,2019-01-02,,0.67,0.0,sr272,sys1929,part69
8739,2019-01-10,2019-05-11,Field Service,149.12,0.0,sr2168,sys1929,part18
8743,2016-01-25,2016-12-03,Field Service,1344.66929,0.0,sr4509,sys1763,part331
8753,2017-05-18,2017-06-22,Field Service,597.0201032000001,0.0,sr2580,sys1539,part37
8755,2017-12-28,2018-02-16,,8.7810678,0.0,sr964,sys1539,part218
8758,2020-07-14,2020-08-13,Field Service,180.0046833,0.0,sr2277,sys1539,part10
8796,2016-03-06,2016-08-07,Field Service,313.7163579,0.0,sr12163,sys1393,part30
8803,2021-11-02,2021-02-23,Field Service,323.89,0.0,sr3763,sys1617,part65
8813,2019-10-17,2019-08-12,Field Service,660.6636276,0.0,sr967,sys1624,part29
8819,2017-10-16,2017-11-26,,76.7517757,0.0,sr3184,sys2032,part25
8824,2020-01-22,2020-01-03,Field Service,312.09,0.0,sr6340,sys2065,part26
8827,2017-06-09,2017-10-13,Field Service,2531.88,0.0,sr2973,sys2134,part84
8839,2021-03-31,2021-04-26,Field Service,64.65,0.0,sr7718,sys1715,part9
8870,2017-09-21,2017-10-27,Field Service,910.8591616,0.0,sr8647,sys1599,part101
8890,2017-07-24,2017-08-25,Field Service,295.5280139,0.0,sr4623,sys1998,part7
8897,2021-07-06,2021-08-24,Field Service,7973.659393000001,0.0,sr3,sys1762,part561
8905,2017-05-31,2017-07-15,Field Service,9461.760458,0.0,sr3730,sys1634,part40
8906,2019-12-26,2020-01-28,,26.90991586,0.0,sr6994,sys1634,part5
8908,2018-07-30,2018-02-09,,32.66437504,0.0,sr4915,sys2084,part25
8909,2018-12-03,2018-04-22,Field Service,63.87574126,0.0,sr8116,sys1672,part208
8912,2017-01-03,2017-04-13,Field Service,16821.61611,0.0,sr3846,sys1884,part2
8919,2020-12-27,2021-05-19,Field Service,474.1496955,0.0,sr1690,sys1607,part56
8960,2018-08-13,2019-06-03,,19.45849279,0.0,sr6,sys1900,part540
8967,2017-11-29,2018-01-14,Field Service,125.96009579999999,0.0,sr1426,sys1941,part63
8978,2018-06-25,2018-10-08,,18.76809617,0.0,sr1660,sys1266,part1113
8980,2018-09-19,2018-12-28,,26.78456454,0.0,sr1044,sys1266,part240
8982,2021-05-13,2021-10-07,,23.30019378,0.0,sr5799,sys2141,part152
8990,2019-01-17,2019-02-28,Field Service,62.29713049,0.0,sr3272,sys2077,part34
8994,2020-04-24,2020-06-24,Field Service,417.7935045,0.0,sr5109,sys1261,part79
8995,2019-03-14,2019-09-05,Field Service,48.38333997,0.0,sr2554,sys1510,part260
8997,2020-05-13,2020-02-07,Field Service,1175.733604,0.0,sr1260,sys1510,part13
9010,2019-05-20,2019-01-07,Field Service,281.9007728,0.0,sr6418,sys1818,part47
9029,2020-06-15,2020-02-08,Field Service,311.74497369999995,0.0,sr1811,sys1488,part54
9045,2021-08-02,2021-03-18,,800.1271701000001,0.0,sr14306,sys1100,part187
9046,2016-10-02,2016-03-16,Field Service,856.1587042000001,0.0,sr5356,sys1100,part1
9056,2018-05-01,2018-12-01,Field Service,16404.73707,0.0,sr2685,sys1893,part3
9068,2020-06-26,2020-09-28,,17.82292075,0.0,sr705,sys1041,part39
9069,2018-03-23,2018-09-07,,30.81171975,0.0,sr2387,sys1041,part353
9079,2021-03-19,2021-04-23,Field Service,482.85,0.0,sr4848,sys1448,part22
9081,2018-02-28,2021-03-21,Field Service,279.98,0.0,sr3650,sys1448,part888
9088,2019-08-01,2019-01-23,Field Service,779.5097944,0.0,sr843,sys1503,part1
9101,2017-06-20,2017-07-31,Field Service,874.76991,0.0,sr6590,sys2441,part1
9103,2018-05-11,2018-08-12,Field Service,907.8194024000001,0.0,sr4846,sys2040,part1
9122,2018-03-26,2018-03-30,Field Service,250.09675,0.0,sr4888,sys1114,part149
9132,2021-03-23,2021-09-05,Field Service,481.0495943,0.0,sr1895,sys884,part476
9143,2019-10-28,2019-06-12,,45.8278106,0.0,sr906,sys875,part839
9161,2018-03-29,2018-05-04,,80.19750172,,sr15839,sys1837,part68
9162,2019-12-20,2019-12-27,,0.0,,sr22456,sys1837,part491
9163,2020-10-07,2020-12-10,Field Service,370.65581230000004,0.0,sr954,sys1667,part223
9165,2021-01-26,2021-08-05,,14.36868784,0.0,sr226,sys1959,part396
9167,2020-11-23,2020-12-25,Field Service,492.19228719999995,0.0,sr2799,sys1959,part73
9168,2018-10-25,2018-10-12,,0.9837366120000001,0.0,sr2353,sys1767,part28
9169,2020-06-25,2020-08-21,Field Service,96.84184379999999,0.0,sr10046,sys1767,part51
9172,2020-04-12,2021-01-28,Field Service,251.0303563,0.0,sr3230,sys1469,part11
9189,2019-05-16,2019-11-07,,66.86543514,0.0,sr2159,sys1699,part25
9191,2021-07-06,2021-04-09,Field Service,100.9009247,0.0,sr3934,sys1699,part130
9193,2020-08-03,2020-05-29,,433.5777669,0.0,sr834,sys1699,part285
9194,2018-05-12,2019-02-27,Field Service,82.34268397,0.0,sr8611,sys1800,part45
9195,2018-05-12,2019-07-01,,18.36961151,0.0,sr6194,sys1800,part290
9199,2019-03-18,2019-04-21,,1.85943107,0.0,sr781,sys1757,part28
9200,2020-08-15,2020-09-18,,86.1210939,0.0,sr2373,sys1757,part5
9211,2019-11-17,2019-12-25,,31.21011943,0.0,sr5802,sys1396,part43
9216,2021-06-24,2021-02-09,,10.50586353,0.0,sr1463,sys1227,part14
9219,2017-10-08,2017-09-16,Field Service,253.7132292,0.0,sr3568,sys2248,part59
9221,2018-02-16,2018-03-22,Field Service,519.752201,0.0,sr7193,sys1789,part31
9222,2018-11-12,2019-11-07,,10.05651976,0.0,sr5693,sys1154,part14
9230,2021-04-29,2021-07-28,Field Service,250.26013390000003,0.0,sr15189,sys1810,part6
9238,2017-12-27,2018-05-02,,0.91549614,0.0,sr4815,sys1837,part28
9244,2020-10-25,2020-11-27,,0.5153449999999999,0.0,sr1615,sys1388,part712
9245,2020-07-11,2020-12-13,Field Service,101.34063959999999,0.0,sr2139,sys1388,part141
9248,2020-07-01,2020-02-21,Field Service,85.11272839,0.0,sr1696,sys1526,part167
9272,2019-09-17,2019-10-27,Field Service,54.43023564,0.0,sr5481,sys1763,part550
9273,2021-03-06,2021-09-16,,28.16910819,0.0,sr4485,sys1380,part549
9279,2017-01-12,2018-05-01,,14.70101048,0.0,sr1626,sys2263,part353
9290,2019-01-05,2019-12-31,Field Service,62.68390296,0.0,sr586,sys1727,part167
9296,2015-11-13,2017-02-24,Field Service,195.6740817,0.0,sr8386,sys1038,part191
9300,2020-04-22,2020-06-06,Field Service,87.17133807,0.0,sr742,sys1883,part156
9301,2020-06-17,2020-07-20,Field Service,672.2781351,0.0,sr1454,sys1883,part119
9303,2019-01-07,2019-04-08,Field Service,384.6682982,0.0,sr7044,sys1883,part31
9304,2018-01-03,2018-04-13,,6.492452200000001,0.0,sr6294,sys1883,part235
9309,2018-06-11,2018-12-18,,11.04316311,0.0,sr5233,sys2234,part20
9319,2020-12-11,2020-12-25,,15.78343917,0.0,sr3294,sys1393,part304
9325,2020-01-09,2020-11-19,Field Service,685.57,0.0,sr1085,sys1646,part567
9329,2017-11-30,2018-09-01,Field Service,717.431541,0.0,sr8779,sys1852,part64
9332,2019-11-13,2020-01-26,Field Service,360.4509496,0.0,sr196,sys1624,part827
9344,2018-01-19,2018-02-24,Field Service,965.17,0.0,sr8460,sys2394,part8
9350,2017-09-05,2017-06-30,Field Service,943.27,0.0,sr296,sys2111,part8
9356,2020-08-26,2020-12-12,Field Service,425.01,0.0,sr62,sys1790,part209
9364,2020-07-07,2020-02-10,,15.37,0.0,sr92,sys1695,part150
9369,2019-05-27,2019-07-21,Field Service,88.48,0.0,sr12544,sys1768,part111
9395,2019-09-25,2019-07-10,Field Service,85.66121948,0.0,sr95,sys1125,part942
9405,2017-11-22,2018-03-20,Field Service,243.65222269999998,0.0,sr1283,sys2324,part149
9406,2020-04-23,2020-05-26,Field Service,2359.366072,0.0,sr7703,sys2324,part4
9412,2018-01-25,2018-04-13,,13.78397544,0.0,sr7250,sys935,part1083
9422,2017-01-03,2017-04-16,Field Service,72.07067140000001,0.0,sr3472,sys649,part125
9425,2020-03-02,2020-06-03,,24.9126612,0.0,sr2339,sys605,part136
9426,2017-01-13,2017-02-25,Field Service,83.52655526,0.0,sr1006,sys2058,part127
9427,2017-11-08,2017-09-15,Field Service,336.98910730000006,0.0,sr8735,sys2058,part26
9430,2019-08-07,2019-12-09,Field Service,14764.239469999999,0.0,sr245,sys870,part2
9436,2018-08-06,2018-08-26,Field Service,7667.474859,0.0,sr441,sys1851,part170
9446,2018-01-10,2018-11-20,,18.25059682,0.0,sr2096,sys1547,part48
9458,2018-04-27,2018-06-29,,0.904640455,0.0,sr2261,sys1513,part41
9466,2018-04-18,2018-05-27,,1.2853061000000001,0.0,sr858,sys586,part1084
9472,2017-12-19,2018-01-23,Field Service,241.8175098,0.0,sr4292,sys1621,part11
9473,2017-08-09,2018-07-05,Field Service,190.7729895,0.0,sr4122,sys1063,part182
9490,2018-07-20,2018-08-24,Field Service,17829.45937,0.0,sr2557,sys671,part2
9502,2019-12-31,2020-10-02,Field Service,312.4318039,0.0,sr3322,sys1018,part151
9505,2021-04-02,2021-09-03,Field Service,319.75936060000004,0.0,sr11631,sys618,part54
9513,2019-01-30,2019-11-03,Field Service,579.4367388999999,0.0,sr342,sys2390,part119
9514,2017-10-23,2017-11-25,,28.31275132,0.0,sr1055,sys1804,part366
9523,2018-05-18,2018-06-16,Field Service,17664.4587,0.0,sr730,sys819,part3
9528,2018-06-06,2018-07-15,Field Service,2003.3838870000002,0.0,sr5494,sys757,part108
9530,2015-04-12,2016-01-18,Field Service,80.67008028,0.0,sr4582,sys706,part114
9537,2021-02-19,2021-02-04,Field Service,263.8505104,0.0,sr2495,sys686,part90
9539,2019-05-16,2019-06-22,Field Service,281.9007728,0.0,sr4086,sys1657,part47
9546,2020-02-11,2020-08-12,,32.60202759,0.0,sr8265,sys827,part23
9548,2021-04-03,2021-05-14,Field Service,238.4092481,0.0,sr5105,sys827,part531
9550,2014-12-02,2014-03-22,Field Service,62.457392299999995,0.0,sr2354,sys827,part46
9551,2018-01-06,2018-07-08,Field Service,57.29219204,0.0,sr2898,sys2299,part46
9559,2017-12-22,2018-02-24,,9.44406694,0.0,sr875,sys1910,part138
9566,2021-10-05,2021-06-13,Field Service,214.9063375,0.0,sr1336,sys1575,part15
9579,2019-04-02,2019-09-04,Field Service,393.06149139999997,0.0,sr309,sys2331,part85
9600,2020-11-12,2021-12-01,,18.39039342,0.0,sr3600,sys1824,part21
9604,2019-02-13,2019-03-21,Field Service,14816.639169999999,0.0,sr1037,sys1824,part3
9607,2018-08-03,2018-05-21,,1.82288081,0.0,sr234,sys1939,part371
9615,2017-06-09,2018-02-01,Field Service,339.6089723,0.0,sr1750,sys1901,part59
9616,2018-06-26,2018-11-08,Field Service,108.18914280000001,0.0,sr661,sys1901,part10
9618,2020-08-28,2020-09-29,,21.82091013,0.0,sr4995,sys1944,part583
9619,2020-05-21,2020-07-07,Field Service,115.2238062,0.0,sr7139,sys2080,part148
9620,2019-04-12,2019-12-18,Field Service,471.7495632,0.0,sr399,sys1660,part50
9621,2018-07-09,2018-10-23,Field Service,231.92062059999998,0.0,sr2167,sys1660,part755
9622,2019-05-30,2019-06-07,,42.19099494,0.0,sr9843,sys1660,part71
9623,2020-04-06,2020-07-07,,27.948369800000002,0.0,sr2753,sys1859,part5
9624,2019-08-03,2019-04-25,Field Service,221.80255499999998,0.0,sr15580,sys1859,part6
9626,2021-01-21,2021-02-25,Field Service,45.84310919,0.0,sr3429,sys1802,part71
9631,2018-09-19,2018-08-10,Field Service,148.29,0.0,sr251,sys1537,part1004
9640,2018-07-05,2018-06-22,Field Service,298.6428812,0.0,sr1168,sys1375,part154
9647,2018-12-27,2019-07-01,Field Service,779.5097944,0.0,sr550,sys1889,part1
9651,2016-08-07,2016-08-13,Field Service,727.8307376,0.0,sr8137,sys1932,part44
9655,2020-01-20,2020-02-28,Field Service,82.61388965,0.0,sr4926,sys2010,part83
9658,2019-05-27,2019-07-25,,17.9111651,0.0,sr494,sys1023,part403
9668,2017-04-24,2017-05-26,Field Service,289.28058569999996,0.0,sr6158,sys1628,part7
9675,2018-12-09,2018-08-10,Field Service,129.1932007,0.0,sr10317,sys1743,part36
9676,2020-04-22,2020-05-15,Field Service,12744.926809999999,0.0,sr1882,sys1743,part3
9679,2018-04-05,2018-06-27,,8.657715648,0.0,sr4285,sys2054,part38
9698,2021-04-13,2021-04-05,Field Service,13323.579759999999,0.0,sr5081,sys1704,part3
9700,2019-09-24,2019-11-10,Field Service,263.3284793,0.0,sr11307,sys1643,part62
9708,2021-02-08,2021-06-08,Field Service,1001.7431339999999,0.0,sr1228,sys2271,part56
9720,2019-09-12,2020-03-17,,103.12997800000001,0.0,sr8132,sys1563,part159
9731,2018-11-26,2018-07-12,,861.6391984999999,0.0,sr3346,sys1591,part1
9746,2018-12-03,2018-02-06,Field Service,751.07,0.0,sr6829,sys2035,part473
9752,2019-08-22,2019-06-09,Field Service,157.23,0.0,sr564,sys1484,part208
9757,2018-12-17,2019-05-04,,502.42,0.0,sr1764,sys1348,part157
9758,2019-10-12,2020-07-02,,61.58,0.0,sr1928,sys1348,part17
9765,2021-05-26,2021-12-06,Field Service,932.9,0.0,sr4079,sys1520,part8
9769,2019-01-29,2019-05-04,,129.08,0.0,sr599,sys1843,part390
9798,2017-02-20,2017-03-04,,17269.15,0.0,sr478,sys1535,part3
9804,2018-07-08,2018-09-25,,7.75,0.0,sr1495,sys1382,part82
9805,2018-07-08,2018-09-25,Field Service,78.06,0.0,sr1495,sys1382,part18
9810,2018-08-23,2018-10-23,Field Service,154.93,0.0,sr9616,sys2131,part32
9812,2021-09-07,2021-09-24,,205.14,0.0,sr19369,sys1437,part15
9813,2019-12-03,2019-04-28,Field Service,468.76,0.0,sr2491,sys2096,part22
9819,2021-06-14,2021-03-08,Field Service,4826.12,0.0,sr6517,sys1690,part195
9828,2017-07-02,2017-11-18,,99.89226974,0.0,sr8570,sys2510,part78
9837,2020-02-12,2021-09-01,Field Service,629.3916882999999,0.0,sr5423,sys858,part97
9845,2021-02-07,2021-09-21,Field Service,1215.021235,0.0,sr2498,sys2446,part13
9846,2021-02-07,2021-09-21,Field Service,3374.862401,0.0,sr2498,sys2446,part302
9847,2017-10-17,2018-01-28,Field Service,769.500986,0.0,sr2158,sys1884,part77
9849,2016-05-12,2017-01-20,Field Service,362.1540807,0.0,sr11868,sys1921,part55
9852,2020-09-16,2020-10-27,Field Service,4142.555036,0.0,sr75,sys1607,part66
9854,2021-06-21,2021-09-09,,29.447004600000003,0.0,sr14075,sys1607,part23
9856,2018-10-22,2018-01-12,Field Service,260.3014308,0.0,sr5305,sys1709,part7
9871,2017-12-30,2018-10-02,Field Service,96.70098744,0.0,sr2555,sys1721,part42
9876,2021-03-16,2021-09-04,Field Service,12334.21971,0.0,sr937,sys1778,part16
9881,2017-08-17,2017-09-30,Field Service,33.24379619,0.0,sr2153,sys1858,part211
9883,2017-03-25,2017-04-29,Field Service,224.9053477,0.0,sr3337,sys1858,part7
9884,2019-05-05,2019-06-14,,13.70811499,0.0,sr150,sys1999,part198
9906,2019-05-12,2020-12-01,,19.49222582,0.0,sr1190,sys1420,part287
9907,2021-06-09,2021-09-09,Field Service,180.86374819999997,0.0,sr2640,sys1420,part10
9913,2021-07-16,2021-08-18,Field Service,336.2095243,0.0,sr6838,sys2153,part65
9919,2020-10-23,2020-12-18,,3.080430315,0.0,sr4419,sys1982,part254
9921,2020-06-29,2020-08-23,Field Service,103.84003,0.0,sr443,sys2154,part238
9929,2019-01-24,2019-03-21,Field Service,788.3482234,0.0,sr3686,sys1818,part1
9958,2017-09-22,2017-09-27,Field Service,18665.345019999997,0.0,sr5009,sys806,part3
9961,2017-04-08,2017-09-25,Field Service,910.6621982,0.0,sr4641,sys1623,part1
9962,2018-08-16,2018-09-22,,0.90475359,0.0,sr1431,sys1623,part115
9968,2018-03-19,2018-07-23,Field Service,50.57817158,0.0,sr351,sys1100,part211
9980,2020-06-25,2020-01-07,,12764.07309,0.0,sr2465,sys1893,part2
9983,2017-11-04,2017-05-15,Field Service,2457.880982,0.0,sr1808,sys2392,part4
9987,2021-04-30,2021-04-09,,1.55458633,0.0,sr3205,sys1885,part215
9996,2021-04-26,2021-06-28,Field Service,13948.44,0.0,sr200,sys1448,part3
10012,2017-05-26,2017-10-07,Field Service,65.31286263,0.0,sr3780,sys2487,part961
10017,2018-11-26,2018-12-31,,29.4791424,0.0,sr2760,sys1075,part5
10032,2019-01-03,2019-04-04,Field Service,7504.581391,0.0,sr7062,sys2352,part40
10035,2017-05-23,2017-03-07,Field Service,141.7983937,0.0,sr1325,sys2408,part36
10036,2018-07-02,2018-03-25,,10.38406331,0.0,sr11339,sys884,part14
10038,2018-04-06,2018-07-07,Field Service,18041.93455,0.0,sr1870,sys1508,part2
10090,2016-03-02,2016-08-03,Field Service,686.8440218999999,0.0,sr6482,sys1769,part44
10091,2021-09-04,2021-05-30,Field Service,345.0188894,0.0,sr1099,sys635,part158
10094,2018-04-25,2018-06-19,Field Service,18649.48518,0.0,sr823,sys2501,part3
10096,2020-06-11,2021-02-01,Field Service,252.5592486,0.0,sr5904,sys1862,part6
10106,2017-01-27,2017-02-04,Field Service,109.21658640000001,0.0,sr3745,sys719,part148
10107,2018-05-18,2018-06-25,Field Service,19048.010280000002,0.0,sr378,sys719,part2
10119,2020-06-10,2020-09-11,Field Service,14829.07351,0.0,sr1842,sys1864,part3
10120,2020-03-07,2020-08-29,Field Service,47.85524285,0.0,sr9167,sys1864,part511
10126,2021-11-03,2021-07-30,Field Service,339.90878119999996,0.0,sr6982,sys1592,part65
10128,2018-11-10,2018-03-12,Field Service,257.0164745,0.0,sr12907,sys1551,part74
10135,2018-12-20,2019-01-22,,34.69787685,0.0,sr3548,sys1712,part21
10146,2019-01-10,2021-08-07,Field Service,34.58138223,0.0,sr1860,sys1729,part35
10148,2019-05-13,2019-06-22,Field Service,59.29057798,0.0,sr4923,sys1693,part316
10157,2019-02-14,2019-03-30,Field Service,97.37697964,0.0,sr5586,sys1701,part105
10161,2020-07-15,2020-08-23,,7.185032937000001,0.0,sr372,sys1795,part82
10162,2019-12-20,2020-02-17,,31.045638399999998,0.0,sr769,sys1795,part421
10166,2017-10-10,2018-11-06,Field Service,972.4368648,0.0,sr4332,sys1920,part1
10168,2017-04-28,2018-11-06,Field Service,115.21773020000002,0.0,sr1222,sys1920,part63
10173,2019-07-19,2019-08-25,Field Service,785.5595933,0.0,sr7819,sys1830,part1
10179,2020-08-06,2020-07-25,Field Service,712.7933762,0.0,sr236,sys1854,part29
10183,2020-09-29,2020-11-13,,20.46620208,0.0,sr503,sys1971,part545
10186,2021-02-02,2021-03-05,Field Service,1004.595341,0.0,sr5466,sys1612,part19
10201,2020-08-09,2020-10-17,Field Service,205.254557,0.0,sr10972,sys1713,part15
10207,2017-01-25,2017-05-03,Field Service,101.8198634,0.0,sr895,sys1770,part42
10209,2018-04-13,2018-05-20,Field Service,1052.890578,0.0,sr4029,sys1936,part8
10211,2017-05-30,2017-07-31,Field Service,874.76991,0.0,sr5015,sys1668,part1
10225,2018-04-26,2018-01-06,Field Service,692.4475482,0.0,sr2232,sys1529,part270
10235,2017-01-20,2017-06-03,Field Service,337.4603913,0.0,sr3299,sys1723,part52
10236,2017-12-29,2018-04-29,Field Service,74.07600972,0.0,sr905,sys1723,part1241
10242,2021-06-22,2021-07-27,Field Service,268.17916759999997,0.0,sr4800,sys1495,part96
10244,2017-06-28,2017-11-08,Field Service,59.68175347,0.0,sr3924,sys1724,part46
10251,2018-03-13,2018-04-16,Field Service,78.63358453,0.0,sr8953,sys1880,part68
10257,2017-09-22,2017-10-27,Field Service,2573.9887670000003,0.0,sr5642,sys1581,part58
10263,2021-03-09,2021-06-09,,11.771918,0.0,sr5862,sys1785,part134
10275,2012-02-09,2012-11-09,Field Service,0.0,0.0,sr5934,sys1872,part415
10277,2017-11-29,2018-02-01,,384.5507767,0.0,sr1313,sys2724,part624
10283,2019-05-02,2021-09-07,Field Service,136.6638953,0.0,sr148,sys1532,part388
10297,2020-08-18,2020-09-22,,22.49303588,0.0,sr4741,sys1838,part20
10298,2019-03-21,2019-04-28,Field Service,192.51324330000003,0.0,sr9905,sys1552,part15
10301,2018-12-10,2018-11-17,Field Service,18110.15323,0.0,sr2526,sys1552,part2
10303,2020-10-07,2020-08-24,,4.227812808,0.0,sr698,sys1573,part625
10308,2019-06-03,2019-12-04,,11.9432145,0.0,sr7094,sys1511,part461
10310,2020-07-15,2020-04-10,Field Service,1267.280979,0.0,sr116,sys1725,part13
10312,2020-07-15,2020-04-10,,3.928459125,0.0,sr116,sys1725,part57
10314,2021-06-28,2021-02-08,Field Service,2184.592408,0.0,sr11216,sys1766,part58
10320,2021-01-21,2021-02-27,Field Service,240.57263340000003,0.0,sr5648,sys1644,part289
10321,2018-08-14,2021-01-19,Field Service,418.8140687,0.0,sr7510,sys1644,part268
10327,2018-04-01,2018-03-19,Field Service,2365.9421239999997,0.0,sr2268,sys2037,part4
10328,2018-09-25,2018-08-10,Field Service,2175.897382,0.0,sr2542,sys2037,part84
10334,2021-12-04,2021-05-23,Field Service,375.0759853,0.0,sr10074,sys1850,part52
10335,2017-12-04,2017-04-06,Field Service,272.8298183,0.0,sr4659,sys1850,part7
10339,2021-05-31,2021-01-07,Field Service,967.6838370999999,0.0,sr13495,sys1751,part19
10346,2018-11-12,2019-01-13,Field Service,239.8803498,0.0,sr7789,sys462,part81
10352,2021-04-26,2021-05-30,Field Service,14461.62944,0.0,sr4997,sys1334,part3
10356,2020-04-27,2020-05-30,Field Service,211.1866185,0.0,sr11310,sys1909,part11
10357,2020-01-10,2020-09-11,Field Service,199.03592659999998,0.0,sr3535,sys1909,part229
10365,2020-01-16,2020-03-29,,31.33493672,0.0,sr10157,sys1608,part17
10382,2019-07-17,2019-08-31,Field Service,14764.228159999999,0.0,sr4903,sys1664,part3
10385,2018-02-04,2018-08-05,,3.57484537,0.0,sr1816,sys2086,part535
10388,2020-04-24,2020-04-27,,0.0,,sr22649,sys1653,part22
10389,2018-11-26,2019-05-02,,0.0,,sr16371,sys1479,part50
10397,2018-10-04,2018-05-30,Field Service,1285.759968,0.0,sr129,sys1959,part234
10399,2019-03-07,2019-07-09,,2.9563314939999996,0.0,sr2049,sys1767,part215
10401,2019-06-13,2019-07-24,Field Service,395.2530063,0.0,sr5556,sys1469,part31
10402,2019-05-12,2020-01-30,,128.4690105,0.0,sr15117,sys1469,part17
10404,2019-12-27,2020-01-30,,20.34395211,0.0,sr489,sys1469,part144
10405,2019-05-12,2020-01-30,,8.82997539,0.0,sr4322,sys1469,part38
10410,2020-09-15,2020-10-24,,32.19894125,0.0,sr6696,sys1912,part23
10411,2016-11-15,2017-02-17,Field Service,199.4433867,0.0,sr8024,sys1912,part18
10414,2018-06-03,2018-09-04,Field Service,1003.7786359999999,0.0,sr6589,sys1341,part1
10417,2018-11-26,2018-12-30,Field Service,2673.498174,0.0,sr3855,sys1716,part4
10420,2019-09-20,2019-10-23,,25.33636619,0.0,sr2888,sys1699,part451
10421,2020-08-27,2021-02-01,,33.51391791,0.0,sr4786,sys1699,part17
10422,2020-12-16,2021-01-29,,33.42574088,0.0,sr8481,sys1699,part23
10426,2018-04-21,2018-05-27,Field Service,276.12384489999994,0.0,sr266,sys1699,part44
10431,2020-04-02,2020-03-13,,11.3982505,0.0,sr5729,sys1757,part12
10436,2018-08-13,2018-09-24,,9.10453986,0.0,sr718,sys1516,part138
10437,2018-07-30,2018-12-09,Field Service,924.3053372000002,0.0,sr2572,sys1396,part1
