,ownershiptype,systemcoveragelevelwarrantyc,installdate,ageagainstinstallation,deinstalldate,avgreplacementage,expectedreplacementdate,transferacceptancedate,shippeddate,warrantystartdate,warrantyenddate,contractstartdate,contractenddate,typ,contract_line_status,contract_length_days,contract_start_date,contract_end_date,contractcanceldate,last_covered_date,contract_length_months,dummy_sysid
47140,,Contract,2013-05-01,8.42,,3.85,MAR-07-2017,MAY-01-2013,,MAY-01-2013,APR-30-2014,,,WARRANTY,,,,,,31-12-2021 00:00,,sys2036
156090,,HBS,2013-05-02,8.41,,0.61,DEC-11-2013,,,MAY-02-2013,MAY-01-2014,,,WARRANTY,,,,,,,,sys2161
145212,Purchase,Contract,2013-05-02,8.41,,4.36,SEP-13-2017,MAY-02-2013,MAY-02-2013,,,JUL-01-2019,JUN-30-2025,CONTRACTS,Active,2192.0,17:08.0,00:00.0,,30-06-2025 17:00,72.0,sys57
51800,,Contract,2013-05-05,8.41,,6.33,SEP-04-2019,,MAY-03-2013,,,JUN-01-2016,SEP-30-2023,CONTRACTS,Accepted,2678.0,,,,30-09-2023 00:00,88.0,sys1193
151953,,Contract,2013-05-05,8.41,,6.33,SEP-04-2019,,MAY-02-2013,,,,,COMPONENT,,,,,,31-05-2023 00:00,,sys1036
62410,Purchased,Contract,2013-05-05,8.41,,4.12,JUN-17-2017,MAY-17-2013,MAY-05-2013,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys378
110629,Lease,HBS,2013-05-06,8.4,,5.69,JAN-13-2019,,MAY-03-2013,MAY-21-2013,MAY-31-2014,,,WARRANTY,,,,,,20-05-2021 00:00,,sys945
161232,Lease,Contract,2013-05-06,8.4,,6.33,SEP-05-2019,,MAY-03-2013,,,JUN-01-2020,MAY-31-2021,CONTRACTS,Accepted,365.0,,,,31-05-2022 00:00,12.0,sys467
139313,,Contract,2013-05-06,8.4,,5.69,JAN-13-2019,,MAY-03-2013,,,,,COMPONENT,,,,,,31-05-2022 00:00,,sys1249
41242,,HBS,2013-05-06,8.4,,5.69,JAN-13-2019,,MAY-03-2013,,,,,COMPONENT,,,,,,31-05-2021 00:00,,sys1048
32539,,HBS,2013-05-07,8.4,,6.33,SEP-06-2019,,,,,SEP-10-2014,DEC-31-2014,CONTRACTS,Active,113.0,00:00.0,00:00.0,,31-12-2014 00:00,3.7096699999999996,sys2056
36209,,Contract,2013-05-07,8.4,,5.69,JAN-14-2019,,MAY-04-2013,,,JUN-01-2014,MAR-31-2017,CONTRACTS,Expired,1035.0,,,,31-03-2022 00:00,34.0,sys1241
133068,,Contract,2013-05-08,8.4,,5.69,JAN-15-2019,,MAY-04-2013,,,JUN-01-2014,FEB-28-2017,CONTRACTS,Expired,1004.0,,,00:00.0,31-10-2022 00:00,33.0,sys1133
93872,,HBS,2013-05-08,8.4,,5.55,NOV-27-2018,,MAY-08-2013,,,,,COMPONENT,,,,,,,,sys1112
8819,Purchase,Contract,2013-05-12,8.39,,3.58,DEC-09-2016,JUN-26-2013,MAY-03-2013,,,AUG-31-2016,DEC-31-2020,CONTRACTS,Expired,1584.0,15:00.0,00:00.0,,15-02-2028 18:00,52.03225,sys112
77656,,Contract,2013-05-13,8.38,,5.55,DEC-02-2018,,MAY-13-2013,MAY-13-2013,MAY-12-2014,,,WARRANTY,,,,,,31-01-2022 00:00,,sys251
109656,Purchase,Contract,2013-05-18,8.37,,3.58,DEC-15-2016,MAY-23-2013,MAY-07-2013,,,JAN-01-2016,JUN-30-2026,CONTRACTS,Active,3834.0,00:00.0,00:00.0,,30-06-2026 17:00,126.0,sys110
66841,,Contract,2013-05-20,8.36,,4.05,JUN-08-2017,MAY-20-2013,,MAY-20-2013,MAY-19-2014,,,WARRANTY,,,,,,19-05-2022 00:00,,sys1829
63222,,Contract,2013-05-20,8.36,,0.61,DEC-29-2013,MAY-29-2013,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1785
67116,,Contract,2013-05-20,8.36,,1.95,MAY-05-2015,MAY-24-2013,,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys1563
50657,,Contract,2013-05-22,8.36,,4.05,JUN-10-2017,MAY-30-2013,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1769
105753,,Contract,2013-05-23,8.36,,5.69,JAN-30-2019,,,,,MAY-11-2014,MAY-10-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2025 00:00,12.0,sys1601
33576,Purchase,Contract,2013-05-23,8.36,,1.27,AUG-30-2014,JUN-18-2013,MAY-23-2013,,,JUN-25-2014,MAY-01-2016,CONTRACTS,Terminated,677.0,15:00.0,00:00.0,00:00.0,16-05-2023 05:00,22.25806,sys344
95837,,Contract,2013-05-30,8.34,,4.12,JUL-12-2017,,,,,JAN-01-2023,DEC-31-2023,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-06-2024 00:00,12.0,sys1415
19684,Purchase,Contract,2013-05-31,8.33,,3.77,MAR-08-2017,JUN-19-2013,MAY-31-2013,,,,,COMPONENT,,,,,,29-02-2024 12:00,,sys164
87832,,Contract,2013-06-03,8.33,,5.55,DEC-23-2018,JUL-23-2013,DEC-12-2012,,,,,COMPONENT,,,,,,1/6/2022 0:00,,sys1337
122435,,Contract,2013-06-03,8.33,,2.98,MAY-29-2016,JUN-10-2013,,,,,,COMPONENT,,,,,,31-10-2021 00:00,,sys1625
32794,Purchase,Contract,2013-06-03,8.33,,2.7,FEB-17-2016,JUN-05-2013,JUN-03-2013,,,JUL-01-2016,MAR-31-2017,CONTRACTS,Terminated,274.0,15:00.0,00:00.0,00:00.0,31-07-2026 17:00,9.0,sys30
19083,,Contract,2013-06-05,8.32,,1.95,MAY-21-2015,JUN-14-2013,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1476
28078,Purchased,Contract,2013-06-05,8.32,,4.12,JUL-18-2017,JUN-07-2013,JUN-05-2013,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys549
134999,,HBS,2013-06-06,8.32,,1.97,MAY-28-2015,JUN-14-2013,,,,JUN-06-2014,JUN-05-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,4/9/2020 0:00,12.0,sys1827
63890,,Contract,2013-06-06,8.32,,5.07,JUL-01-2018,,JUN-06-2013,,,,,COMPONENT,,,,,,30-06-2023 00:00,,sys149
157909,,Contract,2013-06-07,8.32,,0.61,JAN-16-2014,JUN-10-2013,,,,JUN-07-2014,JUN-06-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1693
152209,,Contract,2013-06-07,8.32,,0.61,JAN-16-2014,JUN-13-2013,,,,JUN-07-2017,JUN-06-2018,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1608
45072,,Contract,2013-06-07,8.32,,0.61,JAN-16-2014,JUN-13-2013,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1831
79694,Purchase,Contract,2013-06-07,8.32,,3.07,JUL-02-2016,JUN-11-2013,MAR-26-2013,,,FEB-19-2020,AUG-31-2020,CONTRACTS,Terminated,195.0,17:08.0,00:00.0,00:00.0,31-08-2025 17:00,6.41935,sys28
100506,,Contract,2013-06-10,8.31,,5.69,FEB-17-2019,,JUN-08-2013,,,,,COMPONENT,,,,,,31-07-2022 00:00,,sys1184
156921,,Contract,2013-06-12,8.3,,1.95,MAY-28-2015,JUN-18-2013,,,,,,COMPONENT,,,,,,24-11-2023 00:00,,sys1640
143045,,HBS,2013-06-13,8.3,,4.35,OCT-19-2017,JUN-28-2013,,,,JUL-01-2021,JUN-30-2022,CONTRACTS,Active~Under negotiation,365.0,00:00.0,00:00.0,,30-06-2021 00:00,12.0,sys2271
61809,,Contract,2013-06-13,8.3,,4.05,JUL-02-2017,JUN-12-2013,,,,JAN-01-2020,DEC-31-2020,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1894
135392,,HBS,2013-06-14,8.3,,4.12,JUL-27-2017,,,JUN-14-2013,JUN-13-2014,,,WARRANTY,,,,,,31-12-2020 00:00,,sys1843
33513,,Contract,2013-06-17,8.29,,0.61,JAN-26-2014,JUN-20-2013,,JUN-17-2013,JUN-16-2014,,,WARRANTY,,,,,,31-12-2021 00:00,,sys1779
104308,Purchase,Contract,2013-06-17,8.29,,4.38,NOV-04-2017,JUN-17-2013,JUN-17-2013,,,JUN-01-2013,SEP-30-2019,CONTRACTS,Terminated,2313.0,15:00.0,15:00.0,00:00.0,25-03-2022 17:00,76.0,sys255
116503,Purchase,Contract,2013-06-17,8.29,,4.36,OCT-29-2017,JUN-19-2013,JUN-17-2013,,,OCT-01-2014,SEP-16-2024,CONTRACTS,,,15:00.0,15:00.0,,16-09-2024 17:00,,sys289
97729,,Contract,2013-06-18,8.29,,0.61,JAN-27-2014,JUN-26-2013,,,,FEB-01-2020,DEC-31-2020,CONTRACTS,Active,335.0,00:00.0,00:00.0,,31-12-2021 00:00,11.0,sys1795
76944,,Contract,2013-06-18,8.29,,0.61,JAN-27-2014,JUN-26-2013,,JUN-18-2013,JUN-17-2014,,,WARRANTY,,,,,,31-12-2021 00:00,,sys1701
101560,,Contract,2013-06-21,8.28,,2.98,JUN-16-2016,JUN-26-2013,,,,APR-01-2017,MAR-31-2018,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-09-2021 00:00,12.0,sys1880
87381,,HBS,2013-06-24,8.27,,5.69,MAR-03-2019,,JUN-21-2013,,,JUN-01-2018,MAY-31-2019,CONTRACTS,Expired,365.0,,,,31-05-2020 00:00,12.0,sys652
140334,,Contract,2013-06-26,8.26,,0.61,FEB-04-2014,JUN-28-2013,,JUN-28-2013,JUN-27-2014,,,WARRANTY,,,,,,31-12-2021 00:00,,sys1854
101314,,Contract,2013-06-26,8.26,,4.01,JUL-01-2017,JUN-30-2013,,JUN-26-2013,JUN-25-2014,,,WARRANTY,,,,,,28-02-2023 00:00,,sys1921
25301,,Contract,2013-06-28,8.26,,0.61,FEB-06-2014,JUN-28-2013,,,,JUN-28-2017,DEC-31-2017,CONTRACTS,Active,187.0,00:00.0,00:00.0,,31-12-2021 00:00,6.12903,sys1552
9090,,Contract,2013-07-03,8.24,,6.33,NOV-02-2019,MAY-04-2014,,,,APR-01-2019,JUN-30-2019,CONTRACTS,Active,91.0,00:00.0,00:00.0,,17-12-2021 00:00,3.0,sys1537
23128,,Contract,2013-07-06,8.24,,1.95,JUN-21-2015,JUN-28-2013,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1861
12344,,Contract,2013-07-11,8.22,,5.69,MAR-20-2019,,JUL-09-2013,,,,,WARRANTY,,,,,,30-04-2022 00:00,,sys2120
21236,Purchased,Contract,2013-07-11,8.22,,4.12,AUG-23-2017,NOV-07-2013,JUL-11-2013,,,,,COMPONENT,,,,,,6/2/2022 0:00,,sys1450
29992,,Contract,2013-07-19,8.2,,5.55,FEB-07-2019,JUN-28-2013,JUN-04-2013,,,JAN-15-2017,JAN-14-2018,CONTRACTS,Expired,365.0,,,,18-07-2022 00:00,12.0,sys1477
10778,,Contract,2013-07-19,8.2,,5.55,FEB-07-2019,,JUL-19-2013,,,,,COMPONENT,,,,,,31-10-2022 00:00,,sys318
79280,Purchase,Contract,2013-07-22,8.19,,2.66,MAR-22-2016,JUL-31-2013,JUN-24-2013,,,,,COMPONENT,,,,,,31-10-2024 17:00,,sys380
62912,,HBS,2013-07-31,8.17,,5.55,FEB-19-2019,SEP-23-2013,MAR-14-2013,,,,,COMPONENT,,,,,,,,sys1061
103032,Purchase,Contract,2013-08-04,8.16,,1.44,JAN-14-2015,APR-11-2016,AUG-04-2013,,,APR-11-2017,APR-10-2022,CONTRACTS,,,17:08.0,17:08.0,,1/7/2024 17:00,,sys265
40092,,HBS,2013-08-06,8.15,,5.69,APR-15-2019,,AUG-03-2013,,,,,COMPONENT,,,,,,31-03-2021 00:00,,sys1231
111179,,Contract,2013-08-07,8.15,,0.71,APR-26-2014,,,,,OCT-01-2020,DEC-31-2020,CONTRACTS,Active,92.0,00:00.0,00:00.0,,31-12-2021 00:00,3.0,sys1728
158658,,HBS,2013-08-13,8.13,,4.38,DEC-31-2017,SEP-20-2013,AUG-13-2013,,,AUG-28-2018,AUG-27-2019,CONTRACTS,Active,365.0,,,,27-07-2020 00:00,12.0,sys1508
152647,,Contract,2013-08-14,8.13,,1.95,JUL-30-2015,SEP-27-2013,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Accepted,365.0,,,,31-12-2021 00:00,12.0,sys1840
118575,Purchase,HBS,2013-08-15,8.13,,4.36,DEC-27-2017,AUG-26-2013,AUG-15-2013,,,AUG-23-2014,MAR-31-2019,CONTRACTS,,,15:00.0,00:00.0,,31-12-2020 18:00,,sys190
6292,Purchase,Contract,2013-08-19,8.12,,4.38,JAN-06-2018,AUG-22-2013,AUG-19-2013,,,AUG-19-2014,MAY-31-2015,CONTRACTS,Expired,286.0,15:00.0,00:00.0,,30-04-2026 17:00,9.42607,sys177
18083,,Contract,2013-08-22,8.11,,6.33,DEC-22-2019,,,,,FEB-20-2019,DEC-31-2019,CONTRACTS,Active,315.0,00:00.0,00:00.0,,31-03-2022 00:00,10.387089999999999,sys1433
136471,,Contract,2013-08-22,8.11,,0.61,APR-02-2014,,,,,JAN-01-2017,DEC-31-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys860
159402,,Contract,2013-08-26,8.1,,4.38,JAN-13-2018,SEP-12-2013,AUG-01-2013,,,SEP-12-2014,SEP-11-2023,CONTRACTS,Accepted,3287.0,,,,11/9/2023 0:00,108.0,sys968
141111,,HBS,2013-08-28,8.09,,2.98,AUG-23-2016,,,,,,,COMPONENT,,,,,,,,sys2301
107550,,HBS,2013-08-30,8.09,,0.27,DEC-09-2013,SEP-23-2013,AUG-02-2013,,,NOV-01-2015,DEC-31-2015,CONTRACTS,Active,61.0,,,,15-09-2021 00:00,2.0,sys923
128253,,Contract,2013-08-30,8.09,,2.98,AUG-25-2016,SEP-18-2013,,,,APR-01-2016,DEC-31-2016,CONTRACTS,Active,275.0,00:00.0,00:00.0,,31-12-2021 00:00,9.0,sys1630
33516,,Contract,2013-08-30,8.09,,0.27,DEC-09-2013,AUG-30-2013,,,,,,COMPONENT,,,,,,30-06-2024 00:00,,sys1675
71147,,Contract,2013-09-02,8.08,,1.95,AUG-18-2015,SEP-13-2013,AUG-02-2013,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1334
11805,Purchase,Contract,2013-09-03,8.07,,3.07,SEP-28-2016,SEP-05-2013,AUG-13-2013,,,AUG-21-2014,NOV-30-2019,CONTRACTS,Expired,1928.0,15:00.0,00:00.0,,30-11-2026 18:00,63.35483000000001,sys292
128861,,HBS,2013-09-04,8.07,,1.95,AUG-20-2015,,,,,,,WARRANTY,,,,,,20-11-2018 00:00,,sys2049
143060,,HBS,2013-09-04,8.07,,0.61,APR-15-2014,SEP-11-2013,,,,SEP-04-2014,SEP-03-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,16-09-2021 00:00,12.0,sys1747
95282,,Contract,2013-09-04,8.07,,5.69,MAY-14-2019,,AUG-31-2013,,,APR-01-2020,MAR-31-2021,CONTRACTS,Expired,365.0,,,,31-03-2022 00:00,12.0,sys1239
56623,,Contract,2013-09-05,8.07,,1.97,AUG-27-2015,,,,,OCT-15-2020,OCT-14-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-10-2022 00:00,12.0,sys1595
47199,,Contract,2013-09-05,8.07,,2.98,AUG-31-2016,SEP-27-2013,,,,,,WARRANTY,,,,,,31-08-2023 00:00,,sys1482
118071,Purchase,Contract,2013-09-06,8.07,,2.66,MAY-07-2016,SEP-19-2013,SEP-03-2013,,,,,COMPONENT,,,,,,7/10/2021 17:00,,sys264
92901,,Contract,2013-09-09,8.06,,0.27,DEC-19-2013,SEP-23-2013,FEB-06-2013,,,NOV-09-2021,NOV-08-2022,CONTRACTS,Active,365.0,,,,8/11/2023 0:00,12.0,sys1243
53808,,Contract,2013-09-10,8.06,,1.95,AUG-26-2015,SEP-28-2013,,,,AUG-01-2021,JUL-31-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-07-2022 00:00,12.0,sys1600
96740,,Contract,2013-09-10,8.06,,5.69,MAY-20-2019,,SEP-07-2013,,,,,COMPONENT,,,,,,30-11-2021 00:00,,sys1043
134455,,Contract,2013-09-14,8.04,,5.69,MAY-24-2019,,SEP-08-2013,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1153
144304,Lease,Contract,2013-09-15,8.04,,5.69,MAY-25-2019,,SEP-12-2013,,,OCT-01-2014,SEP-24-2018,CONTRACTS,Expired,1455.0,,,,24-09-2022 00:00,47.774190000000004,sys1291
128992,,Contract,2013-09-16,8.04,,2.98,SEP-11-2016,SEP-27-2013,,,,JAN-01-2016,DEC-31-2016,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1677
113163,,HBS,2013-09-16,8.04,,0.61,APR-27-2014,SEP-17-2013,,,,JAN-01-2021,JUN-30-2021,CONTRACTS,Active,181.0,00:00.0,00:00.0,,30-06-2021 00:00,6.0,sys1632
158700,,HBS,2013-09-16,8.04,,5.0,SEP-18-2018,SEP-17-2013,,,,SEP-17-2014,SEP-16-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-03-2021 00:00,12.0,sys1865
125645,,Contract,2013-09-17,8.04,,5.07,OCT-12-2018,,SEP-17-2013,,,,,COMPONENT,,,,,,31-10-2021 00:00,,sys830
112179,,Contract,2013-09-17,8.04,,5.69,MAY-27-2019,,SEP-14-2013,,,,,COMPONENT,,,,,,30-09-2022 00:00,,sys1134
159154,,Contract,2013-09-20,8.03,,0.61,MAY-01-2014,SEP-23-2013,,,,SEP-20-2014,SEP-19-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-08-2025 00:00,12.0,sys1609
55209,Purchase,Contract,2013-09-20,8.03,,3.58,APR-19-2017,SEP-23-2013,SEP-14-2013,,,OCT-21-2020,DEC-31-2024,CONTRACTS,,,17:08.0,00:00.0,,31-12-2024 18:00,,sys76
47913,Purchase,Contract,2013-09-20,8.03,,3.07,OCT-15-2016,SEP-27-2013,AUG-14-2013,,,JAN-01-2016,JUN-30-2026,CONTRACTS,Active,3834.0,00:00.0,00:00.0,,30-06-2026 17:00,126.0,sys286
31705,,Contract,2013-09-22,8.02,,5.69,JUN-01-2019,,SEP-20-2013,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys897
75359,,Contract,2013-09-23,8.02,,1.95,SEP-08-2015,SEP-27-2013,JUN-06-2013,,,SEP-23-2021,SEP-22-2022,CONTRACTS,Active,365.0,,,,22-09-2022 00:00,12.0,sys795
110911,Purchase,HBS,2013-09-23,8.02,,3.99,SEP-19-2017,SEP-28-2013,SEP-18-2013,,,JUN-18-2016,JUL-31-2017,CONTRACTS,Terminated,409.0,17:08.0,00:00.0,00:00.0,23-08-2020 17:00,13.45161,sys51
102507,Lease,Contract,2013-09-23,8.02,,5.69,JUN-02-2019,,SEP-19-2013,,,SEP-25-2021,SEP-24-2022,CONTRACTS,Accepted,365.0,,,,24-09-2022 00:00,12.0,sys1107
83754,,Contract,2013-09-24,8.02,,0.61,MAY-05-2014,SEP-26-2013,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1689
147788,,Contract,2013-09-26,8.01,,0.61,MAY-07-2014,SEP-26-2013,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1669
75915,Purchase,Contract,2013-09-26,8.01,,4.36,FEB-07-2018,SEP-27-2013,SEP-26-2013,,,DEC-22-2014,DEC-31-2015,CONTRACTS,Expired,375.0,15:00.0,00:00.0,,30-06-2026 17:00,12.330639999999999,sys347
120043,,Contract,2013-09-27,8.01,,0.61,MAY-08-2014,SEP-27-2013,,,,JAN-01-2019,DEC-31-2019,CONTRACTS,Cancelled,365.0,00:00.0,00:00.0,,30-06-2024 00:00,12.0,sys1752
103817,Purchase,Contract,2013-09-27,8.01,,4.36,FEB-08-2018,SEP-28-2013,SEP-27-2013,,,JAN-01-2022,DEC-31-2023,CONTRACTS,,,17:08.0,00:00.0,,31-12-2023 18:00,,sys209
159098,,Contract,2013-09-27,8.01,,0.61,MAY-08-2014,SEP-27-2013,,,,SEP-27-2018,SEP-26-2019,CONTRACTS,Active~Proposed,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1451
19529,Purchase,Contract,2013-09-27,8.01,,3.07,OCT-22-2016,SEP-28-2013,SEP-27-2013,,,SEP-01-2015,DEC-31-2015,CONTRACTS,Expired,122.0,15:00.0,00:00.0,,30-06-2026 17:00,4.0,sys184
134101,,Contract,2013-10-01,8.0,,0.71,JUN-20-2014,,,,,,,COMPONENT,,,,,,31-12-2022 00:00,,sys1571
39083,Purchased,Contract,2013-10-06,7.98,,4.12,NOV-18-2017,JUN-19-2013,OCT-06-2013,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys612
133492,Purchased,Contract,2013-10-11,7.97,,0.71,JUN-30-2014,NOV-19-2013,JAN-01-2013,,,,,COMPONENT,,,,,,18-03-2025 00:00,,sys871
56848,,Contract,2013-10-13,7.96,,5.69,JUN-22-2019,,OCT-12-2013,,,,,COMPONENT,,,,,,31-10-2022 00:00,,sys1102
118405,Purchased,Contract,2013-10-14,7.96,,4.12,NOV-26-2017,OCT-22-2013,OCT-14-2013,,,OCT-14-2014,OCT-13-2018,CONTRACTS,Contract - Active,1461.0,,,,13-10-2022 00:00,48.0,sys940
48473,,HBS,2013-10-15,7.96,,5.69,JUN-24-2019,,OCT-13-2013,,,,,COMPONENT,,,,,,30-11-2021 00:00,,sys1371
59940,Purchased,Contract,2013-10-17,7.95,,1.27,JAN-24-2015,DEC-09-2013,JAN-01-2013,,,MAY-23-2018,MAY-22-2022,CONTRACTS,Contract - Active,1461.0,,,,22-05-2022 00:00,48.0,sys678
31134,,HBS,2013-10-17,7.95,,4.01,OCT-22-2017,,,,,,,COMPONENT,,,,,,,,sys2078
122535,Lease,Contract,2013-10-18,7.95,,5.69,JUN-27-2019,,OCT-14-2013,,,,,COMPONENT,,,,,,29-10-2021 00:00,,sys1062
57707,,Contract,2013-10-21,7.94,,1.95,OCT-06-2015,NOV-05-2013,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1871
154106,,HBS,2013-10-24,7.93,,1.95,OCT-09-2015,,,,,,,COMPONENT,,,,,,,,sys2373
92464,,Contract,2013-10-24,7.93,,1.95,OCT-09-2015,,,,,JAN-01-2017,DEC-31-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2023 00:00,12.0,sys1100
28528,,HBS,2013-10-28,7.92,,0.61,JUN-08-2014,,,,,JAN-01-2015,NOV-08-2015,CONTRACTS,Active,312.0,00:00.0,00:00.0,,22-02-2016 00:00,10.25806,sys2212
152224,,Contract,2013-10-30,7.92,,3.47,APR-21-2017,SEP-29-2013,,,,DEC-01-2014,JUN-30-2015,CONTRACTS,Active,212.0,00:00.0,00:00.0,,30-06-2022 00:00,7.0,sys1661
103139,,Contract,2013-11-01,7.91,,4.35,MAR-09-2018,NOV-05-2013,,,,OCT-01-2016,SEP-30-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1038
74680,,Contract,2013-11-04,7.9,,2.81,AUG-28-2016,,,,,JAN-01-2016,MAR-31-2016,CONTRACTS,Active,91.0,00:00.0,00:00.0,,31-01-2022 00:00,3.0,sys1441
152485,Purchase,Contract,2013-11-04,7.9,,4.26,FEB-06-2018,NOV-27-2013,OCT-03-2013,,,FEB-01-2020,JAN-31-2023,CONTRACTS,Active,1096.0,17:08.0,00:00.0,,31-01-2023 18:00,36.0,sys313
24766,Purchased,Contract,2013-11-06,7.9,,4.01,NOV-11-2017,JUN-25-2013,NOV-06-2013,,,JUN-11-2013,JUN-11-2013,CONTRACTS,Contract - Active,1.0,,,,30-11-2022 00:00,0.03225,sys1113
159220,,Contract,2013-11-07,7.9,,2.98,NOV-02-2016,NOV-07-2013,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-08-2023 00:00,12.0,sys1219
56262,,Contract,2013-11-07,7.9,,6.33,MAR-08-2020,,NOV-04-2013,,,,,COMPONENT,,,,,,30-11-2022 00:00,,sys910
112731,,Contract,2013-11-08,7.89,,6.33,MAR-09-2020,,NOV-05-2013,,,,,COMPONENT,,,,,,30-04-2022 00:00,,sys1000
141789,Purchased,HBS,2013-11-10,7.89,,6.64,JUL-02-2020,APR-04-2014,NOV-10-2013,,,,,COMPONENT,,,,,,15-02-2016 00:00,,sys1021
7813,,HBS,2013-11-12,7.88,,4.12,DEC-25-2017,,,,,NOV-12-2014,NOV-11-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,11/11/2015 0:00,12.0,sys2311
106504,,HBS,2013-11-13,7.88,,5.69,JUL-23-2019,,NOV-09-2013,,,,,COMPONENT,,,,,,,,sys1208
47319,,Contract,2013-11-13,7.88,,5.69,JUL-23-2019,,OCT-26-2013,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1163
160765,,Contract,2013-11-15,7.87,,4.35,MAR-23-2018,SEP-27-2019,OCT-16-2013,,,JAN-01-2018,DEC-31-2018,CONTRACTS,Expired,365.0,,,,31-12-2022 00:00,12.0,sys2476
153830,Purchase,Contract,2013-11-15,7.87,,4.36,MAR-29-2018,NOV-15-2013,NOV-15-2013,,,JAN-01-2016,JUN-30-2026,CONTRACTS,Active,3834.0,00:00.0,00:00.0,,30-06-2026 17:00,126.0,sys197
56588,Purchase,Contract,2013-11-16,7.87,,4.26,FEB-18-2018,NOV-27-2013,NOV-16-2013,,,JAN-01-2016,JUN-30-2026,CONTRACTS,Active,3834.0,00:00.0,00:00.0,,30-06-2026 17:00,126.0,sys134
114441,,Contract,2013-11-20,7.86,,4.38,APR-09-2018,NOV-28-2013,,,,APR-02-2021,APR-01-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,1/4/2024 0:00,12.0,sys1682
78337,Purchase,Contract,2013-11-21,7.86,,2.66,JUL-22-2016,NOV-26-2013,SEP-24-2013,,,DEC-01-2015,JUL-17-2018,CONTRACTS,Terminated,960.0,17:08.0,00:00.0,00:00.0,16-07-2023 05:00,31.548379999999998,sys123
55322,,Contract,2013-11-23,7.85,,1.97,NOV-14-2015,MAR-09-2014,,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys1735
33313,,Contract,2013-11-25,7.85,,4.35,APR-02-2018,DEC-25-2013,,,,,,COMPONENT,,,,,,30-06-2023 00:00,,sys1790
75065,,Contract,2013-11-27,7.84,,0.27,MAR-08-2014,NOV-29-2013,,,,FEB-27-2015,NOV-26-2015,CONTRACTS,Active,273.0,00:00.0,00:00.0,,31-12-2021 00:00,9.0,sys1503
57530,,HBS,2013-11-28,7.84,,0.61,JUL-09-2014,,,,,,,COMPONENT,,,,,,18-10-2015 00:00,,sys2325
89376,,Contract,2013-11-28,7.84,,6.33,MAR-29-2020,,,,,MAR-01-2019,MAR-31-2019,CONTRACTS,Active,31.0,00:00.0,00:00.0,,31-12-2022 00:00,1.0,sys1456
138258,,Contract,2013-11-29,7.84,,5.69,AUG-08-2019,,NOV-24-2013,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys1115
59876,,Contract,2013-12-05,7.82,,5.69,AUG-14-2019,,DEC-02-2013,,,JAN-01-2019,DEC-31-2019,CONTRACTS,Expired,365.0,,,,31-12-2021 00:00,12.0,sys1151
